origem,destino,Aij,Bij,Cij
0,0,0,0,0
0,1,6,37,11100
0,2,0,50000000,0
0,3,14,79,23700
0,4,18,98,29400
0,5,0,50000000,0
0,6,8,45,13500
0,7,22,118,35400
0,8,0,50000000,0
0,9,6,37,11100
1,0,0,0,0
1,1,8,43,12900
1,2,7,42,12600
1,3,20,107,32100
1,4,0,50000000,0
1,5,8,46,13800
1,6,0,50000000,0
1,7,18,99,29700
1,8,0,50000000,0
1,9,8,43,12900
2,0,0,0,0
2,1,0,50000000,0
2,2,0,50000000,0
2,3,13,73,21900
2,4,4,26,7800
2,5,0,50000000,0
2,6,0,50000000,0
2,7,0,50000000,0
2,8,0,50000000,0
2,9,0,50000000,0
3,0,0,0,0
3,1,24,129,38700
3,2,0,50000000,0
3,3,13,74,22200
3,4,0,50000000,0
3,5,0,50000000,0
3,6,0,50000000,0
3,7,0,50000000,0
3,8,0,50000000,0
3,9,0,50000000,0
4,0,0,0,0
4,1,13,73,21900
4,2,0,50000000,0
4,3,9,52,15600
4,4,0,50000000,0
4,5,0,50000000,0
4,6,21,115,34500
4,7,0,50000000,0
4,8,21,112,33600
4,9,0,50000000,0
5,0,0,0,0
5,1,0,50000000,0
5,2,3,21,6300
5,3,0,50000000,0
5,4,8,45,13500
5,5,8,46,13800
5,6,4,26,7800
5,7,0,50000000,0
5,8,0,50000000,0
5,9,16,86,25800
6,0,0,0,0
6,1,0,50000000,0
6,2,13,73,21900
6,3,0,50000000,0
6,4,0,50000000,0
6,5,0,50000000,0
6,6,0,50000000,0
6,7,0,50000000,0
6,8,0,50000000,0
6,9,0,50000000,0
7,0,0,0,0
7,1,0,50000000,0
7,2,21,116,34800
7,3,0,50000000,0
7,4,10,57,17100
7,5,17,93,27900
7,6,14,75,22500
7,7,3,18,5400
7,8,0,50000000,0
7,9,0,50000000,0
8,0,0,0,0
8,1,16,90,27000
8,2,10,55,16500
8,3,0,50000000,0
8,4,0,50000000,0
8,5,0,50000000,0
8,6,0,50000000,0
8,7,0,50000000,0
8,8,0,50000000,0
8,9,0,50000000,0
